EcoBoundaryID,AdminBoundaryID,SpeciesTypeID,StratumID,SecondaryStratumID,StateClassID,AverageTemperature
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,Louisiana,Forest: Loblolly/Shortleaf Pine Group,19.19994749
Mixedwood Plains,Ontario,Pine - Genus type,Mississippi Alluvial Plain,Louisiana,Forest: Loblolly/Shortleaf Pine Group,18.82613365
Mixedwood Plains,Ontario,Pine - Genus type,Mississippi Valley Loess Plains,Louisiana,Forest: Loblolly/Shortleaf Pine Group,19.41320019
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,Louisiana,Forest: Loblolly/Shortleaf Pine Group,19.631119
Mixedwood Plains,Quebec,Pine - Genus type,Northeastern Highlands,Maine,Forest: Loblolly/Shortleaf Pine Group,6.321050305
Atlantic Maritime,Quebec,Pine - Genus type,Northeastern Coastal Zone,Maine,Forest: Loblolly/Shortleaf Pine Group,8.52486914
Atlantic Maritime,Quebec,Pine - Genus type,Middle Atlantic Coastal Plain,Maryland,Forest: Loblolly/Shortleaf Pine Group,14.21175187
Mixedwood Plains,Quebec,Pine - Genus type,Northern Piedmont,Maryland,Forest: Loblolly/Shortleaf Pine Group,13.18167
Mixedwood Plains,Quebec,Pine - Genus type,Southeastern Plains,Maryland,Forest: Loblolly/Shortleaf Pine Group,14.06487586
Mixedwood Plains,Quebec,Pine - Genus type,Ridge and Valley,Maryland,Forest: Loblolly/Shortleaf Pine Group,11.44408601
Atlantic Maritime,Quebec,Pine - Genus type,Northeastern Coastal Zone,Massachusetts,Forest: Loblolly/Shortleaf Pine Group,10.37895653
Atlantic Maritime,Quebec,Pine - Genus type,Atlantic Coastal Pine Barrens,Massachusetts,Forest: Loblolly/Shortleaf Pine Group,10.27126409
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,Mississippi,Forest: Loblolly/Shortleaf Pine Group,17.71358778
Mixedwood Plains,Ontario,Pine - Genus type,Mississippi Valley Loess Plains,Mississippi,Forest: Loblolly/Shortleaf Pine Group,18.37465667
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,Mississippi,Forest: Loblolly/Shortleaf Pine Group,19.3999103
Montane Cordillera,Ontario,Pine - Genus type,Ozark Highlands,Missouri,Forest: Loblolly/Shortleaf Pine Group,13.13276438
Mixedwood Plains,Quebec,Pine - Genus type,Northeastern Highlands,New Hampshire,Forest: Loblolly/Shortleaf Pine Group,6.81136414
Atlantic Maritime,Quebec,Pine - Genus type,Middle Atlantic Coastal Plain,New Jersey,Forest: Loblolly/Shortleaf Pine Group,12.78393941
Atlantic Maritime,Quebec,Pine - Genus type,Atlantic Coastal Pine Barrens,New Jersey,Forest: Loblolly/Shortleaf Pine Group,12.34108889
